AIR_FUEL_RATIO,AIR_INTAKE_TEMP,AMBIENT_AIR_TEMP,BAROMETRIC_PRESSURE,CONTROL_MODULE_VOLTAGE,DISTANCE_TRAVELED_MIL_ON,DTC_NUMBER,ENGINE_COOLANT_TEMP,ENGINE_LOAD,ENGINE_OIL_TEMP,ENGINE_RPM,ENGINE_RUNTIME,EQUIV_RATIO,FUEL_CONSUMPTION_RATE,FUEL_LEVEL,FUEL_PRESSURE,FUEL_RAIL_PRESSURE,FUEL_TYPE,INTAKE_MANIFOLD_PRESSURE,Long Term Fuel Trim Bank 1,Long Term Fuel Trim Bank 2,MAF,SPEED,Short Term Fuel Trim Bank 1,Short Term Fuel Trim Bank 2,THROTTLE_POS,TIMING_ADVANCE,VIN,WIDEBAND_AIR_FUEL_RATIO
14.70:1 AFR,45C,45C,94kPa,13.0V,0km,MIL is OFF0 codes,79C,55.3%,NODATA,894RPM,00:07:19,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,50kPa,-5.5%,NODATA,NODATA,0km/h,0.0%,NODATA,20.0%,50.6%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.74:1 AFR
14.70:1 AFR,45C,45C,94kPa,13.0V,0km,MIL is OFF0 codes,80C,55.3%,NODATA,882RPM,00:07:26,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,56kPa,-5.5%,NODATA,NODATA,0km/h,-2.3%,NODATA,19.6%,49.8%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.35:1 AFR
14.70:1 AFR,45C,46C,94kPa,13.0V,0km,MIL is OFF0 codes,80C,62.4%,NODATA,860RPM,00:07:34,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,57kPa,-5.5%,NODATA,NODATA,0km/h,-2.3%,NODATA,19.6%,56.9%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.89:1 AFR
14.70:1 AFR,45C,45C,94kPa,13.0V,0km,MIL is OFF0 codes,80C,68.2%,NODATA,882RPM,00:07:41,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,62kPa,-5.5%,NODATA,NODATA,2km/h,0.0%,NODATA,20.4%,52.5%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.79:1 AFR
14.70:1 AFR,46C,46C,94kPa,13.0V,0km,MIL is OFF0 codes,80C,67.1%,NODATA,910RPM,00:07:56,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,61kPa,-5.5%,NODATA,NODATA,2km/h,-0.8%,NODATA,18.4%,47.1%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.72:1 AFR
14.70:1 AFR,46C,46C,94kPa,12.0V,0km,MIL is OFF0 codes,82C,66.7%,NODATA,771RPM,00:08:25,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,62kPa,-3.9%,NODATA,NODATA,5km/h,-3.1%,NODATA,22.7%,53.7%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.88:1 AFR
14.70:1 AFR,46C,46C,94kPa,13.0V,0km,MIL is OFF0 codes,82C,60.4%,NODATA,1481RPM,00:08:33,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,55kPa,-4.7%,NODATA,NODATA,12km/h,-5.5%,NODATA,22.0%,58.4%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,15.28:1 AFR
14.70:1 AFR,46C,46C,94kPa,13.0V,0km,MIL is OFF0 codes,83C,53.3%,NODATA,1313RPM,00:08:40,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,51kPa,-4.7%,NODATA,NODATA,12km/h,-3.9%,NODATA,22.0%,60.0%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.53:1 AFR
14.70:1 AFR,46C,46C,94kPa,12.0V,0km,MIL is OFF0 codes,83C,45.1%,NODATA,953RPM,00:08:48,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,46kPa,-5.5%,NODATA,NODATA,7km/h,-2.3%,NODATA,19.2%,60.8%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.82:1 AFR
15.14:1 AFR,48C,43C,94kPa,13.0V,0km,MIL is OFF0 codes,85C,94.9%,NODATA,1642RPM,00:10:38,0.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,84kPa,1.6%,NODATA,NODATA,37km/h,0.8%,NODATA,31.0%,54.5%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,15.01:1 AFR
