file_idx,fault_type,original_values,modified_values,fault_labels
0,,[],[],0
0,,[],[],0
0,,[],[],0
0,,[],[],0
0,coolant_drift,"[86.0, 571.0]","[60.079456, 520.41565]",1
0,multi_sensor,"[86.0, 748.875, 0.0, 16.862745, 46.764706, 36.5]","[94.28671, 822.8352, -0.3791961, 18.654417, 51.38703, 39.975193]",1
0,,[],[],0
0,,[],[],0
0,,[],[],0
0,,[],[],0
0,,[],[],0
0,,[],[],0
0,,[],[],0
0,,[],[],0
0,,[],[],0
0,,[],[],0
0,coolant_drift,"[89.0, 1032.0]","[64.68366, 1001.9552]",1
0,coolant_stuck,[88.0],[101.5355541242523],1
0,,[],[],0
0,,[],[],0
0,coolant_drift,"[87.666664, 828.0]","[113.58044, 747.028]",1
0,,[],[],0
0,coolant_drift,"[87.0, 894.0625]","[104.77843, 844.762]",1
0,,[],[],0
0,,[],[],0
0,,[],[],0
0,,[],[],0
0,,[],[],0
0,,[],[],0
0,,[],[],0
0,,[],[],0
0,,[],[],0
0,coolant_stuck,[87.0],[144.09730623354196],1
0,,[],[],0
0,,[],[],0
0,,[],[],0
0,coolant_bias,[87.0],[142.96794],1
0,,[],[],0
0,,[],[],0
0,,[],[],0
0,multi_sensor,"[87.0, 741.0, 11.5, 16.764706, 31.078432, 30.25]","[66.197655, 562.99097, 9.086474, 12.961488, 23.918232, 23.156277]",1
0,coolant_drift,"[87.0, 698.25]","[57.700623, 900.36456]",1
0,coolant_bias,[87.0],[146.7074],1
0,,[],[],0
0,coolant_stuck,[87.0],[120.18400485388217],1
0,,[],[],0
0,,[],[],0
0,,[],[],0
0,,[],[],0
0,,[],[],0
0,,[],[],0
0,,[],[],0
0,,[],[],0
0,,[],[],0
0,,[],[],0
0,,[],[],0
0,,[],[],0
0,,[],[],0
0,,[],[],0
0,,[],[],0
0,,[],[],0
0,,[],[],0
0,,[],[],0
0,,[],[],0
0,,[],[],0
0,,[],[],0
0,,[],[],0
0,,[],[],0
0,,[],[],0
0,,[],[],0
0,,[],[],0
0,,[],[],0
0,,[],[],0
0,multi_sensor,"[86.0, 1089.9375, 16.5, 16.078432, 19.509804, 18.5]","[98.87031, 1255.6085, 18.894276, 18.532366, 22.34219, 21.193462]",1
0,,[],[],0
0,,[],[],0
0,,[],[],0
0,,[],[],0
0,,[],[],0
0,,[],[],0
0,rpm_bias,[1541.6875],[549.25],1
0,,[],[],0
0,coolant_stuck,[86.0],[13.784883374871672],1
0,,[],[],0
0,,[],[],0
0,,[],[],0
0,,[],[],0
