ECT,RPM,label,split,original_index
-0.78125,0.0,anomaly,test,50558
-0.78125,0.0,anomaly,test,50559
-0.78125,0.0,anomaly,test,50560
-0.78125,0.0,anomaly,test,50561
-0.78125,0.0,anomaly,test,50562
-0.78125,0.0,anomaly,test,50563
-0.78125,0.0,anomaly,test,50564
-0.78125,0.0,anomaly,test,50565
-0.78125,0.0,anomaly,test,50566
-0.78125,0.0,anomaly,test,50567
-0.78125,0.0,anomaly,test,50568
-0.78125,0.0,anomaly,test,50569
-0.78125,0.0,anomaly,test,50570
-0.78125,0.0,anomaly,test,50571
-0.78125,0.0,anomaly,test,50572
-0.78125,0.0,anomaly,test,50573
-0.78125,0.0,anomaly,test,50574
-0.78125,0.0,anomaly,test,50575
-0.78125,0.0,anomaly,test,50576
-0.78125,0.0,anomaly,test,50577
-0.78125,0.0,anomaly,test,50578
-0.78125,0.0,anomaly,test,50579
-0.78125,0.0,anomaly,test,50580
-0.78125,0.0,anomaly,test,50581
-0.78125,0.0,anomaly,test,50582
-0.78125,0.0,anomaly,test,50583
-0.78125,0.0,anomaly,test,50584
-0.78125,0.0,anomaly,test,50585
-0.78125,0.0,anomaly,test,50586
-0.78125,0.0,anomaly,test,50587
-0.78125,0.0,anomaly,test,50588
-0.78125,0.0,anomaly,test,50589
-0.78125,0.0,anomaly,test,50590
-0.78125,0.0,anomaly,test,50591
-0.78125,0.0,anomaly,test,50592
-0.78125,0.0,anomaly,test,50593
-0.78125,0.0,anomaly,test,50594
-0.78125,0.0,anomaly,test,50595
-0.78125,0.0,anomaly,test,50596
-0.78125,0.0,anomaly,test,50597
-0.78125,0.0,anomaly,test,50598
-0.78125,0.0,anomaly,test,50599
-0.78125,0.0,anomaly,test,50600
-0.78125,0.0,anomaly,test,50601
-0.78125,0.0,anomaly,test,50602
-0.78125,0.0,anomaly,test,50603
-0.78125,0.0,anomaly,test,50604
-0.78125,0.0,anomaly,test,50605
-0.78125,0.0,anomaly,test,50606
-0.78125,0.0,anomaly,test,50607
-0.78125,0.0,anomaly,test,50608
-0.78125,0.0,anomaly,test,50609
-0.78125,0.0,anomaly,test,50610
-0.78125,0.0,anomaly,test,50611
-0.78125,0.0,anomaly,test,50612
-0.78125,0.0,anomaly,test,50613
-0.78125,0.0,anomaly,test,50614
-0.78125,0.0,anomaly,test,50615
-0.78125,0.0,anomaly,test,50616
-0.78125,0.0,anomaly,test,50617
-0.78125,0.0,anomaly,test,50618
-0.78125,0.0,anomaly,test,50619
-0.78125,0.0,anomaly,test,50620
-0.78125,0.0,anomaly,test,50621
-0.78125,0.0,anomaly,test,50622
-0.78125,0.0,anomaly,test,50623
-0.78125,0.0,anomaly,test,50624
-0.78125,0.0,anomaly,test,50625
-0.78125,0.0,anomaly,test,50626
-0.78125,0.0,anomaly,test,50627
-0.78125,0.0,anomaly,test,50628
-0.78125,0.0,anomaly,test,50629
