original_index,original_value,injected_value,snr_db,injection_type,timestamp,noise_added
34,-0.78125,-0.78125,18,Level_I,2025-10-22T15:35:50.638825,0.0
44,-0.78125,-0.78125,8,Level_II,2025-10-22T15:35:50.638871,0.0
133,-0.78125,-0.78125,0,Level_III,2025-10-22T15:35:50.638953,0.0
208,-0.78125,-0.78125,18,Level_I,2025-10-22T15:35:50.638998,0.0
210,-0.78125,-0.78125,8,Level_II,2025-10-22T15:35:50.639021,0.0
247,-0.78125,-0.78125,0,Level_III,2025-10-22T15:35:50.639040,0.0
291,-0.78125,-0.78125,18,Level_I,2025-10-22T15:35:50.639058,0.0
322,-0.78125,-0.78125,8,Level_II,2025-10-22T15:35:50.639075,0.0
341,-0.78125,-0.78125,0,Level_III,2025-10-22T15:35:50.639091,0.0
344,-0.78125,-0.78125,18,Level_I,2025-10-22T15:35:50.639108,0.0
369,-0.78125,-0.78125,8,Level_II,2025-10-22T15:35:50.639124,0.0
383,-0.78125,-0.78125,0,Level_III,2025-10-22T15:35:50.639140,0.0
385,-0.78125,-0.78125,18,Level_I,2025-10-22T15:35:50.639169,0.0
408,-0.78125,-0.78125,8,Level_II,2025-10-22T15:35:50.639187,0.0
423,-0.78125,-0.78125,0,Level_III,2025-10-22T15:35:50.639203,0.0
424,-0.78125,-0.78125,18,Level_I,2025-10-22T15:35:50.639219,0.0
447,-0.78125,-0.78125,8,Level_II,2025-10-22T15:35:50.639235,0.0
474,-0.78125,-0.78125,0,Level_III,2025-10-22T15:35:50.639251,0.0
484,-0.78125,-0.78125,18,Level_I,2025-10-22T15:35:50.639268,0.0
503,-0.78125,-0.78125,8,Level_II,2025-10-22T15:35:50.639284,0.0
554,-0.78125,-0.78125,0,Level_III,2025-10-22T15:35:50.639300,0.0
563,-0.78125,-0.78125,18,Level_I,2025-10-22T15:35:50.639360,0.0
606,-0.78125,-0.78125,8,Level_II,2025-10-22T15:35:50.639376,0.0
640,-0.78125,-0.78125,0,Level_III,2025-10-22T15:35:50.639392,0.0
688,-0.78125,-0.78125,18,Level_I,2025-10-22T15:35:50.639408,0.0
718,-0.78125,-0.78125,8,Level_II,2025-10-22T15:35:50.639423,0.0
735,-0.78125,-0.78125,0,Level_III,2025-10-22T15:35:50.639439,0.0
812,-0.78125,-0.78125,18,Level_I,2025-10-22T15:35:50.639454,0.0
843,-0.78125,-0.78125,8,Level_II,2025-10-22T15:35:50.639470,0.0
856,-0.78125,-0.78125,0,Level_III,2025-10-22T15:35:50.639485,0.0
