ECT,RPM,label,split,original_index
0.78125,35.0,anomaly,test,162451
0.78125,35.0,anomaly,test,162452
0.78125,35.0,anomaly,test,162453
0.78125,35.0,anomaly,test,162454
3.125,35.0,anomaly,test,162455
3.125,35.0,anomaly,test,162456
3.125,35.0,anomaly,test,162457
3.125,35.0,anomaly,test,162458
3.125,35.0,anomaly,test,162459
3.125,35.0,anomaly,test,162460
3.125,35.0,anomaly,test,162461
2.34375,31.0,anomaly,test,162462
2.34375,31.0,anomaly,test,162463
2.34375,31.0,anomaly,test,162464
2.34375,31.0,anomaly,test,162465
3.125,32.0,anomaly,test,162466
3.125,32.0,anomaly,test,162467
3.125,32.0,anomaly,test,162468
3.125,32.0,anomaly,test,162469
3.125,24.0,anomaly,test,162470
3.125,24.0,anomaly,test,162471
3.125,24.0,anomaly,test,162472
3.125,18.0,anomaly,test,162473
3.125,18.0,anomaly,test,162474
3.125,18.0,anomaly,test,162475
3.125,18.0,anomaly,test,162476
3.125,16.0,anomaly,test,162477
3.125,16.0,anomaly,test,162478
3.125,16.0,anomaly,test,162479
3.125,16.0,anomaly,test,162480
-5.46875,12.0,anomaly,test,162481
-5.46875,12.0,anomaly,test,162482
-5.46875,12.0,anomaly,test,162483
3.125,21.0,anomaly,test,162484
3.125,21.0,anomaly,test,162485
3.125,21.0,anomaly,test,162486
3.125,21.0,anomaly,test,162487
-5.46875,29.0,anomaly,test,162488
-5.46875,29.0,anomaly,test,162489
-5.46875,29.0,anomaly,test,162490
-5.46875,29.0,anomaly,test,162491
0.0,39.0,anomaly,test,162492
0.0,39.0,anomaly,test,162493
0.0,39.0,anomaly,test,162494
3.125,41.0,anomaly,test,162495
3.125,41.0,anomaly,test,162496
3.125,41.0,anomaly,test,162497
3.125,41.0,anomaly,test,162498
-0.78125,43.0,anomaly,test,162499
-0.78125,43.0,anomaly,test,162500
-0.78125,43.0,anomaly,test,162501
-0.78125,43.0,anomaly,test,162502
0.78125,46.0,anomaly,test,162503
0.78125,46.0,anomaly,test,162504
0.78125,46.0,anomaly,test,162505
1.5625,48.0,anomaly,test,162506
1.5625,48.0,anomaly,test,162507
1.5625,48.0,anomaly,test,162508
1.5625,48.0,anomaly,test,162509
2.34375,48.0,anomaly,test,162510
2.34375,48.0,anomaly,test,162511
2.34375,48.0,anomaly,test,162512
2.34375,48.0,anomaly,test,162513
2.34375,48.0,anomaly,test,162514
2.34375,48.0,anomaly,test,162515
2.34375,48.0,anomaly,test,162516
2.34375,48.0,anomaly,test,162517
2.34375,50.0,anomaly,test,162518
2.34375,50.0,anomaly,test,162519
2.34375,50.0,anomaly,test,162520
2.34375,49.0,anomaly,test,162521
2.34375,49.0,anomaly,test,162522
2.34375,49.0,anomaly,test,162523
2.34375,49.0,anomaly,test,162524
2.34375,49.0,anomaly,test,162525
2.34375,49.0,anomaly,test,162526
2.34375,49.0,anomaly,test,162527
0.0,49.0,anomaly,test,162528
0.0,49.0,anomaly,test,162529
0.0,49.0,anomaly,test,162530
0.0,49.0,anomaly,test,162531
0.78125,50.0,anomaly,test,162532
0.78125,50.0,anomaly,test,162533
0.78125,50.0,anomaly,test,162534
0.78125,50.0,anomaly,test,162535
2.34375,51.0,anomaly,test,162536
2.34375,51.0,anomaly,test,162537
2.34375,51.0,anomaly,test,162538
1.5625,51.0,anomaly,test,162539
1.5625,51.0,anomaly,test,162540
1.5625,51.0,anomaly,test,162541
1.5625,51.0,anomaly,test,162542
1.5625,53.0,anomaly,test,162543
1.5625,53.0,anomaly,test,162544
1.5625,53.0,anomaly,test,162545
1.5625,53.0,anomaly,test,162546
2.34375,53.0,anomaly,test,162547
2.34375,53.0,anomaly,test,162548
2.34375,53.0,anomaly,test,162549
2.34375,53.0,anomaly,test,162550
2.34375,52.0,anomaly,test,162551
2.34375,52.0,anomaly,test,162552
2.34375,52.0,anomaly,test,162553
2.34375,51.0,anomaly,test,162554
2.34375,51.0,anomaly,test,162555
2.34375,51.0,anomaly,test,162556
2.34375,51.0,anomaly,test,162557
2.34375,50.0,anomaly,test,162558
2.34375,50.0,anomaly,test,162559
2.34375,50.0,anomaly,test,162560
2.34375,50.0,anomaly,test,162561
2.34375,47.0,anomaly,test,162562
2.34375,47.0,anomaly,test,162563
2.34375,47.0,anomaly,test,162564
2.34375,46.0,anomaly,test,162565
2.34375,46.0,anomaly,test,162566
2.34375,46.0,anomaly,test,162567
2.34375,46.0,anomaly,test,162568
2.34375,45.0,anomaly,test,162569
2.34375,45.0,anomaly,test,162570
2.34375,45.0,anomaly,test,162571
3.125,45.0,anomaly,test,162572
3.125,43.0,anomaly,test,162573
3.125,43.0,anomaly,test,162574
3.125,43.0,anomaly,test,162575
3.125,41.0,anomaly,test,162576
3.125,41.0,anomaly,test,162577
3.125,41.0,anomaly,test,162578
3.125,41.0,anomaly,test,162579
3.125,36.0,anomaly,test,162580
3.125,36.0,anomaly,test,162581
3.125,36.0,anomaly,test,162582
3.125,36.0,anomaly,test,162583
3.125,29.0,anomaly,test,162584
3.125,29.0,anomaly,test,162585
3.125,29.0,anomaly,test,162586
-2.34375,27.0,anomaly,test,162587
-2.34375,27.0,anomaly,test,162588
-2.34375,27.0,anomaly,test,162589
-2.34375,27.0,anomaly,test,162590
-3.125,30.0,anomaly,test,162591
-3.125,30.0,anomaly,test,162592
-3.125,30.0,anomaly,test,162593
-0.78125,30.0,anomaly,test,162594
-0.78125,35.0,anomaly,test,162595
-0.78125,35.0,anomaly,test,162596
-0.78125,35.0,anomaly,test,162597
2.34375,39.0,anomaly,test,162598
2.34375,39.0,anomaly,test,162599
2.34375,39.0,anomaly,test,162600
2.34375,39.0,anomaly,test,162601
2.34375,40.0,anomaly,test,162602
2.34375,40.0,anomaly,test,162603
2.34375,40.0,anomaly,test,162604
2.34375,40.0,anomaly,test,162605
2.34375,41.0,anomaly,test,162606
2.34375,41.0,anomaly,test,162607
2.34375,41.0,anomaly,test,162608
2.34375,41.0,anomaly,test,162609
2.34375,41.0,anomaly,test,162610
2.34375,41.0,anomaly,test,162611
2.34375,41.0,anomaly,test,162612
2.34375,43.0,anomaly,test,162613
2.34375,43.0,anomaly,test,162614
2.34375,43.0,anomaly,test,162615
2.34375,43.0,anomaly,test,162616
2.34375,40.0,anomaly,test,162617
2.34375,40.0,anomaly,test,162618
2.34375,40.0,anomaly,test,162619
2.34375,39.0,anomaly,test,162620
2.34375,39.0,anomaly,test,162621
2.34375,39.0,anomaly,test,162622
2.34375,39.0,anomaly,test,162623
2.34375,37.0,anomaly,test,162624
2.34375,37.0,anomaly,test,162625
2.34375,37.0,anomaly,test,162626
2.34375,37.0,anomaly,test,162627
2.34375,36.0,anomaly,test,162628
2.34375,36.0,anomaly,test,162629
2.34375,36.0,anomaly,test,162630
3.125,35.0,anomaly,test,162631
3.125,35.0,anomaly,test,162632
3.125,35.0,anomaly,test,162633
3.125,35.0,anomaly,test,162634
3.125,33.0,anomaly,test,162635
3.125,33.0,anomaly,test,162636
3.125,33.0,anomaly,test,162637
3.125,33.0,anomaly,test,162638
3.125,32.0,anomaly,test,162639
3.125,32.0,anomaly,test,162640
3.125,32.0,anomaly,test,162641
3.125,28.0,anomaly,test,162642
3.125,28.0,anomaly,test,162643
3.125,28.0,anomaly,test,162644
3.125,28.0,anomaly,test,162645
3.125,21.0,anomaly,test,162646
3.125,21.0,anomaly,test,162647
3.125,21.0,anomaly,test,162648
3.125,21.0,anomaly,test,162649
3.125,15.0,anomaly,test,162650
3.125,15.0,anomaly,test,162651
3.125,15.0,anomaly,test,162652
3.125,15.0,anomaly,test,162653
3.125,7.0,anomaly,test,162654
3.125,7.0,anomaly,test,162655
3.125,7.0,anomaly,test,162656
3.125,3.0,anomaly,test,162657
3.125,3.0,anomaly,test,162658
3.125,3.0,anomaly,test,162659
3.125,3.0,anomaly,test,162660
3.125,0.0,anomaly,test,162661
3.125,0.0,anomaly,test,162662
3.125,0.0,anomaly,test,162663
3.125,0.0,anomaly,test,162664
3.125,0.0,anomaly,test,162665
3.125,0.0,anomaly,test,162666
3.125,0.0,anomaly,test,162667
3.125,0.0,anomaly,test,162668
3.125,0.0,anomaly,test,162669
3.125,0.0,anomaly,test,162670
3.125,0.0,anomaly,test,162671
3.125,0.0,anomaly,test,162672
3.125,0.0,anomaly,test,162673
3.125,0.0,anomaly,test,162674
3.125,0.0,anomaly,test,162675
3.125,0.0,anomaly,test,162676
3.125,0.0,anomaly,test,162677
3.125,0.0,anomaly,test,162678
3.125,0.0,anomaly,test,162679
3.125,0.0,anomaly,test,162680
3.125,0.0,anomaly,test,162681
3.125,0.0,anomaly,test,162682
3.125,0.0,anomaly,test,162683
3.125,0.0,anomaly,test,162684
3.125,0.0,anomaly,test,162685
3.125,0.0,anomaly,test,162686
3.125,0.0,anomaly,test,162687
3.125,0.0,anomaly,test,162688
3.125,0.0,anomaly,test,162689
3.125,0.0,anomaly,test,162690
3.125,0.0,anomaly,test,162691
3.125,0.0,anomaly,test,162692
3.125,0.0,anomaly,test,162693
3.125,0.0,anomaly,test,162694
3.125,0.0,anomaly,test,162695
3.125,0.0,anomaly,test,162696
3.125,0.0,anomaly,test,162697
3.125,0.0,anomaly,test,162698
3.125,0.0,anomaly,test,162699
3.125,0.0,anomaly,test,162700
-0.78125,4.0,anomaly,test,162701
-0.78125,4.0,anomaly,test,162702
-0.78125,4.0,anomaly,test,162703
-0.78125,4.0,anomaly,test,162704
3.125,8.0,anomaly,test,162705
3.125,8.0,anomaly,test,162706
3.125,8.0,anomaly,test,162707
-5.46875,8.0,anomaly,test,162708
-5.46875,14.0,anomaly,test,162709
-5.46875,14.0,anomaly,test,162710
-5.46875,14.0,anomaly,test,162711
3.125,20.0,anomaly,test,162712
3.125,20.0,anomaly,test,162713
3.125,20.0,anomaly,test,162714
3.125,20.0,anomaly,test,162715
3.125,19.0,anomaly,test,162716
3.125,19.0,anomaly,test,162717
3.125,19.0,anomaly,test,162718
3.125,19.0,anomaly,test,162719
3.125,16.0,anomaly,test,162720
3.125,16.0,anomaly,test,162721
3.125,16.0,anomaly,test,162722
3.125,16.0,anomaly,test,162723
3.125,16.0,anomaly,test,162724
3.125,16.0,anomaly,test,162725
3.125,16.0,anomaly,test,162726
3.125,14.0,anomaly,test,162727
3.125,14.0,anomaly,test,162728
3.125,14.0,anomaly,test,162729
3.125,14.0,anomaly,test,162730
3.125,17.0,anomaly,test,162731
3.125,17.0,anomaly,test,162732
3.125,17.0,anomaly,test,162733
2.34375,16.0,anomaly,test,162734
2.34375,16.0,anomaly,test,162735
