original_index,original_value,injected_value,snr_db,injection_type,timestamp,noise_added
110,2.34375,2.34375,18,Level_I,2025-10-22T15:35:50.948364,0.0
124,3.125,3.125,8,Level_II,2025-10-22T15:35:50.948396,0.0
127,3.125,3.125,0,Level_III,2025-10-22T15:35:50.948415,0.0
191,3.125,3.125,18,Level_I,2025-10-22T15:35:50.948432,0.0
212,3.125,3.125,8,Level_II,2025-10-22T15:35:50.948449,0.0
431,0.78125,0.78125,0,Level_III,2025-10-22T15:35:50.948465,0.0
441,3.125,3.125,18,Level_I,2025-10-22T15:35:50.948482,0.0
454,-5.46875,-5.46875,8,Level_II,2025-10-22T15:35:50.948498,0.0
625,3.125,3.125,0,Level_III,2025-10-22T15:35:50.948514,0.0
696,1.5625,1.5625,18,Level_I,2025-10-22T15:35:50.948530,0.0
831,3.125,3.125,8,Level_II,2025-10-22T15:35:50.948546,0.0
836,3.125,3.125,0,Level_III,2025-10-22T15:35:50.948562,0.0
890,3.125,3.125,18,Level_I,2025-10-22T15:35:50.948578,0.0
963,6.25,6.25,8,Level_II,2025-10-22T15:35:50.948594,0.0
1097,3.125,3.125,0,Level_III,2025-10-22T15:35:50.948703,0.0
1165,3.125,3.125,18,Level_I,2025-10-22T15:35:50.948730,0.0
1180,3.125,3.125,8,Level_II,2025-10-22T15:35:50.948749,0.0
1213,3.125,3.125,0,Level_III,2025-10-22T15:35:50.948768,0.0
1246,3.125,3.125,18,Level_I,2025-10-22T15:35:50.948785,0.0
1491,3.125,3.125,8,Level_II,2025-10-22T15:35:50.948801,0.0
1518,3.125,3.125,0,Level_III,2025-10-22T15:35:50.948817,0.0
1696,3.125,3.125,18,Level_I,2025-10-22T15:35:50.948834,0.0
1818,3.125,3.125,8,Level_II,2025-10-22T15:35:50.948850,0.0
1856,3.125,3.125,0,Level_III,2025-10-22T15:35:50.948870,0.0
1945,3.125,3.125,18,Level_I,2025-10-22T15:35:50.948888,0.0
1990,3.125,3.125,8,Level_II,2025-10-22T15:35:50.948904,0.0
2009,3.125,3.125,0,Level_III,2025-10-22T15:35:50.948920,0.0
2059,3.125,3.125,18,Level_I,2025-10-22T15:35:50.948936,0.0
2126,3.125,3.125,8,Level_II,2025-10-22T15:35:50.948952,0.0
2165,3.125,3.125,0,Level_III,2025-10-22T15:35:50.948967,0.0
2189,3.125,3.125,18,Level_I,2025-10-22T15:35:50.948983,0.0
2295,3.125,3.125,8,Level_II,2025-10-22T15:35:50.948999,0.0
2338,3.125,3.125,0,Level_III,2025-10-22T15:35:50.949015,0.0
